April 1, 2230
April 2, 1765
April 3, 2488
April 4, 3245
April 5, 2214
April 6, 3188
April 7, 1605
April 8, 2597
April 9, 3402
April 10, 1169
April 11, 1128
April 12, 3452
April 13, 1544
April 14, 1262
April 15, 2170
April 16, 2741
April 17, 1997
April 18, 6637
April 19, 2062
April 20, 2448
April 21, 3288
April 22, 1140
April 23, 6940
April 24, 5613
April 25, 4319
April 26, 9060
April 27, 5724
April 28, 4361
April 29, 3357
April 30, 5979
May 1, 2354
May 2, 7327
May 3, 7053
May 4, 1455
May 5, 4334
May 6, 403
May 7, 681
May 8, 5510
May 9, 1724
May 10, 1123
May 11, 712
May 12, 1618
May 13, 273
May 14, 633
May 15, 1755
May 16, 7466
May 17, 2465
May 18, 2506
May 19, 756
May 20, 428
May 21, 8163
May 22, 582
May 23, 2881
May 24, 237
May 25, 591
May 26, 5737
May 27, 806
May 28, 2900
May 29, 143
May 30, 248
May 31, 2615
June 1, 8
June 2, 86
June 3, 699
June 4, 159
June 5, 2480
June 6, 751
June 7, 416
June 8, 682
June 9, 167
June 10, 492
June 11, 20
June 12, 469
June 13, 750
June 14, 3453
June 15, 1195
June 16, 386
June 17, 167
June 18, 2599
June 19, 2073
June 20, 155
June 21, 1703
June 22, 3012
June 23, 697
June 24, 238
June 25, 508
June 26, 1786
June 27, 1407
June 28, 688
June 29, 11
June 30, 3248
