April 1, 1542
April 2, 1509
April 3, 2486
April 4, 1324
April 5, 6489
April 6, 6296
April 7, 1076
April 8, 3128
April 9, 4085
April 10, 3947
April 11, 2618
April 12, 1268
April 13, 8406
April 14, 1090
April 15, 4550
April 16, 6070
April 17, 3595
April 18, 3751
April 19, 1518
April 20, 3315
April 21, 1155
April 22, 3768
April 23, 1207
April 24, 1377
April 25, 4254
April 26, 2286
April 27, 3239
April 28, 1984
April 29, 1092
April 30, 1096
May 1, 3114
May 2, 1643
May 3, 1156
May 4, 708
May 5, 1377
May 6, 7589
May 7, 704
May 8, 6535
May 9, 147
May 10, 3414
May 11, 154
May 12, 5442
May 13, 2306
May 14, 783
May 15, 4918
May 16, 335
May 17, 1381
May 18, 461
May 19, 221
May 20, 434
May 21, 4093
May 22, 708
May 23, 454
May 24, 897
May 25, 4333
May 26, 1125
May 27, 3824
May 28, 229
May 29, 625
May 30, 1988
May 31, 3352
June 1, 969
June 2, 440
June 3, 515
June 4, 38
June 5, 1841
June 6, 135
June 7, 1103
June 8, 554
June 9, 571
June 10, 49
June 11, 1947
June 12, 505
June 13, 441
June 14, 228
June 15, 97
June 16, 442
June 17, 2464
June 18, 29
June 19, 208
June 20, 2155
June 21, 472
June 22, 593
June 23, 1255
June 24, 230
June 25, 263
June 26, 1120
June 27, 1534
June 28, 716
June 29, 2510
June 30, 2135
